Name,Year,Sex,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
St. Reno,2012/05/04,gelding,Ms. Deep Pockets,1996,94,4.0,Buckaroo,1975
Twinkle Toes,2012/02/15,filly,Final Fling,2005,88,6.4,Bertrando,1989
Tyrrhenian,2012/03/01,colt,Shining Sea,2005,88,4.5,Stormy Atlantic,1994
Watusi,2012/03/17,filly,Haka,2006,96,5.5,Dynaformer,1985
Unnamed,2013/02/18,gelding,Zambezi Belle,1998,,,Lord At War (ARG),1980
Adenai,2013/02/10,filly,Senora Cat,2004,3,0.0,Cozzene,1980
American Pioneer,2013/03/12,gelding,Makoma,2007,88,3.6,Malibu Moon,1997
Anna House,2013/04/05,filly,Sweet Charity,1999,76,1.9,A.P. Indy,1989
Awesome Anita,2013/03/27,filly,Fourth Power,2006,18,0.1,Cozzene,1980
Awesome Breeze,2013/02/17,filly,Just Breezing,2004,,,Golden Missile,1995
Awesome Elaine,2013/03/02,filly,Courting Elaine,2005,77,1.4,Doneraile Court,1996
Awesome Gent,2013/04/17,gelding,Pawnee Patti,1994,95,3.8,Sir Richard Lewis,1987
Awesome K P,2013/05/20,gelding,Buck Trout's Niece,2001,70,1.0,Waquoit,1983
Awesome Relic,2013/03/15,gelding,Royal Relic,2000,,,Colonial Affair,1990
Awesome Slew,2013/02/06,colt,Slewfoundmoney,2004,84,3.6,Seeking the Gold,1985
Awesome Vacation,2013/02/11,gelding,Takeabreak,2002,,,A.P. Indy,1989
C J's Gal,2013/01/29,filly,C J's Leelee,2005,98,7.1,Mizzen Mast,1998
Circuit Reboot,2013/03/10,filly,Sharp Current,2007,46,0.6,Tiznow,1997
Clever Again,2013/04/10,filly,Rich N Clever,2004,89,2.9,Richter Scale,1994
Coco as in Chanel,2013/04/21,filly,Surf N Sand,1999,94,8.1,Boston Harbor,1994
Code of Silence,2013/04/27,gelding,Tiz a Fantasy,2003,68,2.2,Tiznow,1997
Deputy Drama,2013/05/07,colt,Female Drama,2007,42,3.4,Indian Charlie,1995
Driven West,2013/04/22,colt,Abba Gold,1998,86,2.0,Devil's Bag,1981
Goldstreak,2013/03/26,filly,Color of Gold,1996,,,Seeking the Gold,1985
