Name,Year,Sex,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Poker Game,2001/03/22,gelding,Stormy Blues,1992,98,24.9,Cure the Blues,1978
Precious Again,2001/02/12,filly,Precious Clare,1996,80,1.4,Red Ransom,1987
Presentation (JPN),2001/01/01,filly,Lady Telluride,1997,,,A.P. Indy,1989
Prince Awesome,2001/04/15,colt,Pure Red,1993,88,2.2,Thirty Six Red,1987
Rockin' Again,2001/02/11,gelding,Touch Dial,1996,99,17.9,Phone Trick,1982
Thunder Fox,2001/05/03,gelding,Astas Foxy Lady,1991,96,12.6,Zuppardo's Prince,1976
Thunder Wolf,2001/04/22,gelding,Blazing Hot,1993,80,6.9,Irish River (FR),1976
Valid Again,2001/01/22,gelding,Valid Way,1991,61,0.8,Valid Appeal,1972
Vallelunga,2001/04/01,gelding,Brushing Gloom,1992,98,14.5,Broad Brush,1983
Zikra Alhabeeb (KSA),2001/01/01,filly,Maureen's Hope,1995,96,4.5,Northern Baby,1976
Unnamed,2002/01/30,filly,Eastern Star,1992,65,2.0,Star de Naskra,1975
Aristocrat,2002/02/24,colt,Baby Zip,1991,87,2.5,Relaunch,1976
Attract Some Awe,2002/03/31,filly,Attraction Fatale,1987,91,6.4,Dauphin Fabuleux,1982
Awesome Avie,2002/01/11,filly,Avies Covergirl,1991,89,2.7,Avies Copy,1984
Awesome Deputy,2002/05/22,filly,Ruby Rubles,1995,96,6.1,Scarlet Ibis,1986
Awesome Exchange,2002/04/10,filly,Copelan's Exchange,1994,41,0.2,Copelan,1980
Awesome Hazel,2002/02/19,filly,She's Mahogany,1996,75,1.0,Woodman,1983
Awesome Jet,2002/03/24,colt,Fighting Jet,1990,97,6.9,Copelan,1980
Comealong,2002/04/25,gelding,Dark Hours,1992,96,7.5,Dynaformer,1985
Discreetly Awesome,2002/04/12,filly,Pretty Discreet,1992,99,9.9,Private Account,1976
Dubai Escapade,2002/05/10,filly,Sassy Pants,1992,96,6.9,Saratoga Six,1982
Financial Times,2002/03/18,colt,Investabull,1997,,,Holy Bull,1991
Freeway Fun,2002/04/28,filly,Alma Mater Ohio,1995,94,4.0,Kyle's Our Man,1988
Glasnost,2002/04/10,colt,Rabiadella,1991,97,7.7,Dynaformer,1985
Hapster,2002/05/08,filly,Scivolina,1994,,,Slew o' Gold,1980
King Mustang,2002/02/13,gelding,Feeling Easy,1993,91,2.4,Easy Goer,1986
Maybe for Sure,2002/01/05,filly,Cheers and Tears,1995,96,4.4,Bold Ruckus,1976
Perfectly Awesome,2002/01/31,filly,Perfect Night,1991,86,2.4,Taylor's Falls,1973
Reregister,2002/04/08,filly,Register,1992,,,Mari's Book,1978
Round Pond,2002/05/21,filly,Gift of Dance,1989,80,1.3,Trempolino,1984
Roxy Blue,2002/04/28,filly,Sub Rosa,1994,84,2.2,Private Terms,1985
Spun Sugar,2002/01/28,filly,Irish Cherry,1994,96,5.6,Irish Open,1984
Struck Again,2002/04/10,gelding,Wild Lightning,1991,97,8.3,Wild Again,1980
Upwardly Mobile,2002/04/28,filly,Broad Expectations,1994,91,2.7,Broad Brush,1983
Virgil Q,2002/04/09,gelding,North Lake Jane,1997,98,8.5,Meadowlake,1983
Welcome Again,2002/03/11,gelding,Alda's Will,1993,77,1.2,Gallapiat,1973
Win Again,2002/04/15,gelding,Valid Approval,1993,96,4.7,Valid Appeal,1972
Windbreak,2002/02/20,colt,Mackenzie Slew,1992,94,4.0,Seattle Slew,1974
A. J. Awesome,2003/05/17,colt,Powerful Nation,1994,89,3.1,Turkoman,1982
Above Spirit,2003/02/09,gelding,Pure Red,1993,88,2.2,Thirty Six Red,1987
Alliteration,2003/04/17,colt,Meadowlake Mist,1992,86,1.8,Meadowlake,1983
Angle of Attack,2003/02/03,colt,Beguiled,1995,89,2.8,Relaunch,1976
Awesome Bear,2003/03/31,filly,Lucky Marty,1993,94,3.6,Fortunate Prospect,1981
Awesome Empress,2003/02/02,filly,Way Up,1993,89,2.4,Great Above,1972
Awesome Eve,2003/03/13,filly,Demons Cloud,1996,93,4.0,Demons Begone,1984
Awesome Richard,2003/04/28,gelding,Red Royal,1995,84,2.1,Red Ransom,1987
Awesome Silence,2003/02/04,gelding,Evening Hush,1995,98,6.2,Saint Ballado,1989
Black Cherry,2003/04/16,filly,Abby Girl,1997,87,8.4,Meadowlake,1983
Bug a Boo Ben,2003/02/02,colt,Collect the Cash,1997,92,11.4,Dynaformer,1985
Capelia,2003/02/14,filly,Blanca Delia,1995,79,1.7,Darn That Alarm,1981
Capricornio,2003/03/24,gelding,Lazer Eye,1997,80,3.5,Holy Bull,1991
Cotton King,2003/03/04,colt,Lake Leman,1995,1,0.0,Meadowlake,1983
Exotic Bird,2003/04/17,filly,Nicky Tiki,1997,91,2.7,Skip Trial,1982
Hardballer,2003/04/25,gelding,Supah Gem,1990,97,13.2,Gold Meridian,1982
Mightiness,2003/03/27,colt,Perfect Pearl,1996,71,1.8,Holy Bull,1991
On Board Again,2003/02/04,colt,Flight Delight,1994,93,4.2,Lear Fan,1981
Playing to Win,2003/05/02,gelding,Gud Aftanoon,1996,77,1.3,Private Terms,1985
Red Damask,2003/02/05,filly,Top of the League,1998,95,4.0,Lite the Fuse,1991
Remos,2003/02/16,gelding,Holywood Picture,1996,96,5.3,Holy Bull,1991
Rock Rose,2003/03/01,filly,Tina Dynamite,1997,78,5.3,Dynaformer,1985
Royal Attire,2003/02/21,gelding,Black Tie Lady,1994,74,1.3,Black Tie Affair (IRE),1986
Soul Catcher,2003/02/04,gelding,Diablo's Closer,1996,75,2.3,Diablo,1987
Sugar Shake,2003/05/02,filly,Skipping Around,1996,98,8.8,Skip Trial,1982
Sweetheart Rose,2003/02/27,filly,Standard Equipment,1990,87,5.7,American Standard,1980
Victorian Rose,2003/02/02,filly,Here's to You,1996,99,16.4,Bertrando,1989
Witch Woman,2003/02/19,filly,Ms. Deep Pockets,1996,94,4.0,Buckaroo,1975
Won Awesome Dude,2003/01/15,gelding,Lil Punkindo,1998,97,5.9,Maria's Mon,1993
Unnamed,2004/05/27,colt,Bye the Bye,1984,93,2.6,Balzac,1975
Archer City Miss,2004/02/23,filly,I'm Yours Joe,1991,,,Miswaki,1978
Awesome Alexandra,2004/06/10,filly,Alma Mater Ohio,1995,94,4.0,Kyle's Our Man,1988
Awesome Betty,2004/01/24,filly,Balboa Betty,1994,79,1.3,Cee's Tizzy,1987
Awesome Catch,2004/02/19,filly,Catcher,1994,91,2.7,Storm Cat,1983
Awesome Feat,2004/02/20,filly,Bold Feat,1997,89,2.4,Capote,1984
Awesome Hero,2004/01/26,colt,Herzblatt,1997,94,4.2,Cozzene,1980
Baltic,2004/03/23,colt,Attemptress,2000,97,5.7,Meadowlake,1983
Bellafina,2004/02/01,filly,Belle's Appeal,1996,97,6.1,Valid Appeal,1972
Blossom Again,2004/03/11,filly,Snowberg,1995,98,10.9,Seattle Sleet,1990
Candy Wrap,2004/02/18,filly,Rash,1998,95,3.5,Miswaki,1978
Cascade Cool,2004/05/03,gelding,Ropersandwranglers,1993,98,7.4,Endow,1986
Clear Thinking,2004/02/16,filly,Crystal Shard,1994,,,Mr. Prospector,1970
Code Variance,2004/03/10,filly,Ava Knowsthecode,1994,84,2.8,Cryptoclearance,1984
Daaher,2004/02/28,colt,Irish Cherry,1994,96,5.6,Irish Open,1984
Dancing Preacher,2004/04/20,colt,Reggae Queen,1997,96,4.3,Dynaformer,1985
Discombobulated,2004/03/24,gelding,Jeb,1989,90,3.8,Jeblar,1982
Domoron Again,2004/02/21,colt,Nanie's Dinner,1997,95,5.6,State Dinner,1975
Done That,2004/02/25,gelding,Summit Park,1995,90,2.6,A.P. Indy,1989
Ghost Hour,2004/05/12,gelding,Dark Hours,1992,96,7.5,Dynaformer,1985
Guidance,2004/03/26,filly,Heavenly Advice,1994,89,2.4,Theatrical (IRE),1982
Halloween Dance,2004/03/01,filly,Tap to Music,1995,99,23.3,Pleasant Tap,1987
I Never Bluff,2004/05/01,filly,I Ain't Bluffing,1994,97,23.1,Pine Bluff,1989
Intuition Magic,2004/05/03,gelding,Reinfree,1997,4,0.0,Unbridled,1987
Katabatic,2004/02/07,colt,Dragonada,1994,87,5.4,Nureyev,1977
Lady's Game,2004/02/14,filly,Unbridled Lady,1996,93,4.2,Unbridled,1987
Laser,2004/03/03,colt,Speed to Burn,1999,90,2.7,Red Ransom,1987
Market Value,2004/03/19,colt,Interest Only,1998,88,6.7,Crafty Prospector,1979
Miracle Rose,2004/02/16,filly,Magical Maiden,1989,98,28.2,Lord Avie,1978
Miss Laylee,2004/03/14,filly,Love and Marry,1998,72,3.9,Known Fact,1977
Moneymoneymoney,2004/03/01,gelding,Currency Quest,1993,75,2.0,Cryptoclearance,1984
Nano,2004/02/25,filly,Dominique's Joy,1995,97,5.9,Strawberry Road (AUS),1979
One Step Better,2004/01/24,filly,Valid Leader,1995,90,3.4,Valid Appeal,1972
Poppy's Punkin,2004/05/02,gelding,Poppy's Passion,1986,98,7.5,Miswaki,1978
Spirited Away,2004/04/11,filly,Cape North,1993,63,0.8,Capote,1984
Timber Cove,2004/04/09,colt,J. D. Flowers,1986,92,2.8,Dixieland Band,1980
Waltz to Victory,2004/03/20,filly,Bucquestor,1995,87,5.3,Norquestor,1986
Unnamed,2005/03/25,filly,Field of Glory,1999,78,1.2,Meadowlake,1983
Unnamed,2005/03/03,colt,Miss Dahlia,1994,,,Strawberry Road (AUS),1979
Unnamed,2005/05/11,filly,Sam's Sylvia,1989,64,1.0,American Standard,1980
Unnamed,2005/06/05,colt,Ticklish Situation,1994,91,3.0,Notebook,1985
Ab Fab,2005/03/10,gelding,Fabulous,1995,30,0.1,Seeking the Gold,1985
Air Chart,2005/05/15,gelding,Santa Amelia,1993,97,8.5,Cozzene,1980
Alpha Luck,2005/04/19,filly,Alpha Light,2000,51,1.5,Alphabet Soup,1991
Amadeus Musicus,2005/03/14,gelding,Libretto,1998,96,4.9,Birdonthewire,1989
Awesome Affair,2005/03/17,gelding,Bygone Blues,2000,,,Colonial Affair,1990
Awesome Easton,2005/05/26,gelding,Gregorian Chance,1996,89,7.4,American Chance,1989
Awesome I Am,2005/02/20,filly,Facts of Winning,1998,,,Known Fact,1977
Awesome Kris,2005/05/12,filly,Kris Is It,1996,84,1.6,Kris S.,1977
Awesome Moment,2005/05/11,filly,Turkappeal,1993,95,4.9,Turkoman,1982
Blooming Love,2005/03/12,filly,Montana Cat,1998,93,3.7,Mountain Cat,1990
Bolero Queen,2005/01/27,filly,Federal Reserve,1997,1,0.0,Pleasant Tap,1987
Bonafide Gift,2005/02/11,filly,Casa's Kids,1997,82,2.8,Theatrical (IRE),1982
Coletta,2005/03/19,filly,Coker,1997,95,4.0,Theatrical (IRE),1982
Comeback Kid,2005/01/15,colt,Hot Talent,1999,98,14.7,Alphabet Soup,1991
Dream Realized,2005/03/08,filly,Dreamers Glory,1999,93,4.1,Holy Bull,1991
Elfriede,2005/05/01,filly,Festive Madam,1998,88,2.3,Festive,1985
Elsebeeb,2005/04/16,gelding,Aghsaan,1997,,,Wild Again,1980
Forbitten Cherry,2005/05/24,filly,Darlin Echo,1996,78,2.1,Eastern Echo,1988
Forestdale,2005/05/06,colt,Demons Cloud,1996,93,4.0,Demons Begone,1984
Fusaichi P J (JPN),2005/05/18,colt,Really Rising,1994,61,1.1,For Really,1987
Gazumba,2005/03/03,gelding,Diadella,1997,98,12.8,Diesis (GB),1980
I Am Awesome,2005/04/12,gelding,I Certainly Am,1990,86,1.7,Affirmed,1975
Major Force,2005/04/30,colt,Future Pretense,1990,98,11.2,Fappiano,1977
Oso de Yen,2005/05/16,colt,Operate Quick,1988,70,0.6,Dr. Schwartzman,1981
Palmerstown,2005/04/15,gelding,My Chanel,1999,77,1.2,Gilded Time,1990
Racing Bran,2005/04/17,gelding,Believe Big Bran,1997,90,2.4,I Can't Believe,1988
Spacy Tracy,2005/03/08,filly,Tracy,1996,94,3.7,Theatrical (IRE),1982
Starstream,2005/02/28,filly,Dominique's Slew,1999,,,Seattle Slew,1974
Surrealdeal,2005/03/10,gelding,Mom's Appeal,1998,85,1.8,Valid Appeal,1972
Sweet Gladys,2005/03/11,filly,Honey Eyed,1998,97,5.0,Lite the Fuse,1991
Terina,2005/03/02,filly,Yekaterina,1993,,,Strawberry Road (AUS),1979
Track Attack,2005/03/19,gelding,Winnetka,1989,76,5.3,Theatrical (IRE),1982
Victorious Again,2005/05/17,filly,Seattle Sashay,1999,,,Seattle Slew,1974
Unnamed,2006/05/08,filly,Eishin Houlton,1993,62,0.9,Wild Again,1980
Unnamed,2006/04/26,filly,Unbridled Wind,1996,92,5.0,Unbridled,1987
Act Quickly,2006/03/07,filly,Instant Thought,2000,1,0.0,Kris S.,1977
Alamanda Drive,2006/05/14,filly,Dante's Mary,1999,,,Boston Harbor,1994
Alpha Wave,2006/05/15,colt,Baby Zip,1991,87,2.5,Relaunch,1976
Attractive One,2006/05/24,filly,American Skipper,1999,92,4.0,Quiet American,1986
Awesome Country,2006/03/12,colt,Country Stage,1988,87,3.3,Country Light,1983
Awesome Fleet,2006/03/10,filly,Maggy Hawk,1994,86,1.7,Hawkster,1986
Awesome Medicine,2006/03/03,filly,Wild Cure,1998,77,1.4,Cure the Blues,1978
Awesome Mich,2006/03/31,gelding,Mymich,2000,92,3.6,A.P. Indy,1989
Burgee,2006/02/17,colt,Gold Streamer,1996,91,4.3,Forty Niner,1985
Cool Dude,2006/04/14,gelding,Bonefide Reason,1998,89,3.1,Sabona,1982
Eloise,2006/04/17,filly,Elloluv,2000,99,29.2,Gilded Time,1990
Everyday Heroes,2006/02/27,colt,Lucette,1998,90,2.4,Dayjur,1987
Hansom Cab,2006/02/05,filly,Cabiria,1988,54,2.8,Raise a Native,1961
Harpers Land,2006/04/21,gelding,Flower Forest,2000,98,5.9,Kris S.,1977
Ice Mint,2006/02/06,filly,Icelips,1999,84,1.6,Unbridled,1987
Image and Likeness,2006/04/19,gelding,Jade Flush,1991,98,11.5,Jade Hunter,1984
Letavitsa,2006/01/15,filly,Weekend Gold,1998,87,2.1,Seeking the Gold,1985
Logic,2006/02/01,gelding,Storm to Glory,1999,95,3.7,Storm Bird,1978
Lotsofawe,2006/03/04,filly,Galore,1997,49,0.3,Gulch,1984
Majhood,2006/01/21,colt,Beyond Venus,2002,,,War Chant,1997
Montmartre,2006/03/30,colt,Sacre Coeur,2000,94,3.6,Saint Ballado,1989
Oxtankah,2006/02/13,colt,Kimme a Star,1997,81,1.5,Star de Naskra,1975
Papal Decree,2006/03/01,colt,Saintly Persuasion,2000,94,4.9,Saint Ballado,1989
Polterer,2006/01/22,gelding,Instore,1992,87,3.3,Relaunch,1976
Proud Again,2006/03/17,filly,Sweet Little Avie,2000,82,1.8,Lord Avie,1978
Sense of Honor,2006/03/27,gelding,Real Rose,1999,99,13.5,Skip Trial,1982
Shining Force,2006/05/17,filly,Brooklyn's Storm,1996,72,3.2,Storm Cat,1983
Shopping Again,2006/03/26,filly,Shop Till You Drop,1999,90,4.2,Thunder Gulch,1992
Soaring Sun,2006/03/15,colt,Sahara Gold,1997,98,7.9,Seeking the Gold,1985
Son of a Ghost,2006/05/04,gelding,Tuff Chick,1998,97,5.7,Wild Again,1980
Starter for Ten,2006/02/11,filly,Fantasy Spin,1998,91,3.3,A.P. Indy,1989
Storm Wind,2006/05/04,gelding,Brook's Approval,2002,32,0.2,Montbrook,1990
Swatman,2006/04/23,gelding,Light Dancer,1998,82,2.0,Colony Light,1989
Well Positioned,2006/04/09,colt,Taxible,1997,63,0.7,Holy Bull,1991
Wolf Mountain,2006/04/23,gelding,Petrina Above,1995,94,3.6,Great Above,1972
Unnamed,2007/04/11,colt,Miss Kistler,1997,94,3.6,Pleasant Colony,1978
Askari,2007/04/08,colt,Alpha Heat,1999,95,8.3,Alphabet Soup,1991
Awesome Encore,2007/03/06,gelding,Scioto Bootski,1998,94,3.5,Storm Boot,1989
Awesome Now,2007/02/02,colt,Bobbie Use,2001,96,4.5,Not For Love,1990
Awesome Start (IRE),2007/04/24,filly,Startarette,2000,56,0.4,Dixieland Band,1980
Blue Bandito,2007/02/22,colt,Black Penny,1992,63,0.7,Private Account,1976
Caftan,2007/03/29,filly,Jilbab,1999,95,14.2,A.P. Indy,1989
Cat Wiesel,2007/04/04,filly,Jade Eyed,1999,99,10.5,Friendly Lover,1988
Chiloe,2007/02/16,filly,Christmas Star,1994,98,7.3,Star de Naskra,1975
Classic Affair,2007/04/04,filly,Wichitoz,1997,84,2.0,Affirmed,1975
Coral Key,2007/01/31,gelding,Coral Necklace,1998,98,6.7,Conquistador Cielo,1979
Do It Again Henry,2007/02/08,colt,Seattle Queen,2000,73,2.7,Seattle Slew,1974
Fair and Square,2007/03/31,filly,Untarnished,1999,15,0.0,Unbridled,1987
Forever Awesome,2007/02/12,colt,Caprice Miss,2002,94,3.7,Golden Missile,1995
Gota Agua,2007/04/05,colt,Lyin Goddess,2001,84,2.8,Boston Harbor,1994
Just Alright,2007/04/20,colt,Marina Light,2002,74,1.3,Colony Light,1989
Kahshe,2007/02/15,filly,Silver Bird,2001,97,9.3,Lit de Justice,1990
Look Awesome,2007/05/01,filly,Gilty Look,1996,96,6.9,Seeking the Gold,1985
Lucky Irish Day,2007/02/20,gelding,Dispersed Reward,1998,89,2.4,Dispersal,1986
Manzanilla,2007/03/29,filly,Casperina,2003,,,Golden Missile,1995
Medomak,2007/05/06,filly,Wiscasset,2000,,,Kris S.,1977
No Longer With Us,2007/04/20,colt,Precious Jewell,1997,72,2.4,Fortunate Prospect,1981
Reprise,2007/03/18,gelding,Curriculum,1999,,,Danzig,1977
Rosalinda,2007/04/03,filly,Gentle Ridge,2002,29,0.3,Bertrando,1989
Round N Round,2007/04/05,filly,Chit Chatter,1999,85,2.0,Lost Soldier,1990
Royal Heart,2007/03/31,filly,Siphonette,2001,68,1.0,Siphon (BRZ),1991
S' Avall,2007/02/03,filly,Pleasant Home,2001,98,46.5,Seeking the Gold,1985
Sacred Ground,2007/01/20,colt,Moonlight Affair,1998,98,9.2,Friendly Lover,1988
Sassy Minx,2007/01/29,filly,Folly Dollar,1997,96,4.4,Digression,1987
Spotfire,2007/04/13,colt,Wakigoer,1994,85,1.9,Miswaki,1978
Surreptitiously,2007/04/21,colt,Country Hideaway,1996,99,16.8,Seeking the Gold,1985
Tiran,2007/05/21,colt,Real Doll,1999,93,4.9,Known Fact,1977
Yarda,2007/04/29,filly,Mila,1998,73,3.1,Unbridled,1987
Yo Tambien,2007/04/19,gelding,Ruby Mist,2000,90,2.4,Red Ransom,1987
A Shin Burlington (JPN),2008/02/18,colt,Vermont Girl,1997,75,2.5,Mi Cielo,1990
Addicted Again,2008/04/08,gelding,Addicted,1998,84,1.8,Broad Brush,1983
All Time High,2008/03/27,filly,Oh What a Windfall,1996,93,8.4,Seeking the Gold,1985
Awesome Acasha,2008/05/02,filly,Here's to You,1996,99,16.4,Bertrando,1989
Awesome Arceno,2008/04/07,gelding,Missile Bay,2002,88,3.3,Yes It's True,1996
Awesome Asset,2008/02/04,filly,Authorized Staff,1990,85,2.0,Relaunch,1976
Awesome Delight (IRE),2008/05/07,gelding,Flight Delight,1994,93,4.2,Lear Fan,1981
Awesome Patriot,2008/03/17,colt,Tizamazing,2002,,,Cee's Tizzy,1987
Awesome Princess (VEN),2008/04/14,filly,Got Soup,2001,22,0.2,Alphabet Soup,1991
Awesome Review,2008/04/16,gelding,Lil Broad Tee,2003,94,4.2,Lil E. Tee,1989
Awesome Symmetry,2008/04/23,filly,Valid Symmetry,1992,96,5.7,Valid Appeal,1972
Awesomechristopher,2008/02/26,colt,Ellensburg,1997,80,1.6,Personal Flag,1983
Callmethesqueeze,2008/04/06,filly,Mop Squeezer,1996,86,2.5,Roanoke,1987
Cheyenne Chief,2008/03/19,gelding,Alpha Saphire,2000,99,8.2,Alphabet Soup,1991
Crystallo,2008/03/16,filly,Roll V T R,2001,73,1.1,Alphabet Soup,1991
Dream Big,2008/04/29,filly,Mandy's Gold,1998,99,18.6,Gilded Time,1990
Elle Again,2008/02/03,filly,Unbridled Grace,2002,89,2.3,Unbridled Jet,1996
Exact Again,2008/03/26,gelding,Exact,1996,95,4.4,Twining,1991
Futurista,2008/03/13,filly,Raise a Beauty,1991,61,0.9,Alydar,1975
Gallant Mambo (AUS),2008/09/05,colt,Mambo Chatte,2001,,,Kingmambo,1990
Go Go Lolo,2008/05/08,filly,Selena Rose,1999,89,2.3,Honour and Glory,1993
Golddigging,2008/04/08,gelding,Finder's Fee,1997,99,10.2,Storm Cat,1983
Hammer Home,2008/03/14,colt,Alicita My Love,2000,86,2.4,Birdonthewire,1989
Harry Dexter,2008/04/04,colt,Field of Dreams,1997,94,3.4,Meadowlake,1983
Ibelievein U and I,2008/03/14,filly,Marvelous Marlene,2003,,,Saint Ballado,1989
Jade Glory Again,2008/02/16,gelding,Awesome Glory,2001,91,3.1,Honour and Glory,1993
Janie Sue,2008/04/15,filly,Carolyn Frances,2000,88,2.1,Personal Flag,1983
Light Your World,2008/04/23,filly,Stop the Lights,2003,68,1.0,Storm Cat,1983
Look Homeward,2008/03/17,filly,Angel Trumpet,2002,91,3.9,Cape Canaveral,1996
Mintlips,2008/02/27,filly,Icelips,1999,84,1.6,Unbridled,1987
National,2008/04/19,gelding,Styler,1999,98,7.2,Holy Bull,1991
New Outlook,2008/05/05,colt,Tikkanita,2000,90,3.6,Cozzene,1980
Norma's Dream,2008/05/02,filly,Donna's Doll,2002,81,2.5,Pleasant Tap,1987
Patriot's Voyage,2008/05/19,colt,Forest Secrets,1998,98,13.7,Forest Wildcat,1991
Prospect Knight,2008/04/11,gelding,Skip Trial Miss,1997,79,1.5,Skip Trial,1982
Quilchena Park,2008/03/10,gelding,Storm Forcast,2002,83,1.9,Slew Gin Fizz,1991
Russian Tiger,2008/03/26,colt,Fluid Move,1994,88,2.8,Nureyev,1977
Saikyo Fast (JPN),2008/05/08,filly,Dulce Amor,2003,8,0.1,Cozzene,1980
Sra. Bella,2008/03/09,filly,Holy Way,1999,61,0.6,Holy Bull,1991
Stunning Split,2008/05/07,gelding,Split the Arrow,1999,84,1.7,Smart Strike,1992
Uncut Stone (IRE),2008/03/08,gelding,Suitably Discreet,1998,,,Mr. Prospector,1970
Warrens Heights,2008/02/12,gelding,She's Got Class,1997,12,0.0,Trempolino,1984
Write It Down,2008/02/25,colt,Our Miss Jones,2002,83,1.8,Alphabet Soup,1991
Yanolite,2008/01/31,filly,Silent Bull,2001,92,3.2,Holy Bull,1991
Zesty,2008/04/11,filly,Spirited Game,2001,93,3.6,Not For Love,1990
Aunt Glo,2009/02/14,filly,Brisquette,1998,97,5.4,Unbridled's Song,1993
Awesome Address,2009/03/03,gelding,Word of Mouth,2000,,,Saint Ballado,1989
Awesome Bella,2009/06/01,filly,Cindazanno,1990,91,2.7,Alleged,1974
Awesome Maneuver,2009/03/30,filly,Strategic Maneuver,1991,97,24.9,Cryptoclearance,1984
Awesome Story,2009/04/19,filly,Drexel Monorail,1999,95,4.1,Glitterman,1985
Awesome Venture (AUS),2009/09/01,filly,Defrere's Venture,2001,92,3.3,Defrere,1992
Awesomeatthetrack,2009/05/08,filly,Track Gal,1991,93,18.0,Track Barron,1981
Awesomekaylee,2009/04/02,filly,Getcozywithkaylee,2001,89,3.6,Zafarrancho (ARG),1982
Bear Mademoiselle,2009/02/28,filly,Mamselle Aries,2003,90,2.6,Artax,1995
Champion Again,2009/03/24,colt,Arctic Laur,2003,80,2.7,Bold Executive,1984
Clever Bird,2009/02/25,filly,Clever Squaw,1997,,,Rahy,1985
Dead On,2009/05/26,gelding,Split the Arrow,1999,84,1.7,Smart Strike,1992
Down by Law,2009/03/29,filly,Danzig's Humor,2005,,,Lemon Drop Kid,1996
Drill Sergeant,2009/02/22,colt,Shades of Grace,2001,74,1.0,Seeking the Gold,1985
Eqtiraan,2009/04/14,filly,Ridaa,1999,88,2.1,Seattle Slew,1974
Ever Awesome,2009/01/24,filly,Dante's Mary,1999,,,Boston Harbor,1994
Gordias,2009/04/12,colt,Voodoo Dancer,1998,98,27.9,Kingmambo,1990
Havilah,2009/03/14,filly,Herzblatt,1997,94,4.2,Cozzene,1980
Hip Hop Girl,2009/02/18,filly,Adams Theatre,2003,84,2.4,Honour and Glory,1993
His Royal Highness,2009/03/05,gelding,Royally Chosen,1998,96,12.4,In Excess (IRE),1987
Interlocking,2009/04/16,filly,Engaging,1994,,,Private Account,1976
Lady Artemis,2009/04/06,filly,Lady At Peace,1996,92,8.2,Lord At War (ARG),1980
Lisa T.,2009/03/31,filly,Supercharger,1995,97,5.5,A.P. Indy,1989
Little Lisa,2009/03/23,filly,Icy Tea,2003,,,Storm Cat,1983
Maltese Again,2009/03/21,colt,Lu Ravi,1995,98,33.3,A.P. Indy,1989
Matar,2009/05/20,gelding,Hero's Love,1988,98,16.8,Hero's Honor,1980
Nominee,2009/04/18,colt,La Porta,2005,93,3.9,Distorted Humor,1993
Pablo,2009/05/21,colt,Baby Zip,1991,87,2.5,Relaunch,1976
Paynter,2009/03/04,colt,Tizso,1995,5,0.0,Cee's Tizzy,1987
Prescott Brown,2009/04/04,gelding,Bird Town,2000,98,26.4,Cape Town,1995
Quick Change,2009/03/22,colt,Alternate,1999,98,9.8,Seattle Slew,1974
Recurrent,2009/02/09,gelding,Peace River Lady,1999,89,4.0,Woodman,1983
Run for Cecila,2009/02/17,filly,Not So Careless,1987,95,5.8,Desert Wine,1980
Watchnadiamond,2009/04/14,filly,Watchfull,1997,96,4.5,Notebook,1985
Unnamed,2010/02/12,colt,Bugs Day,2004,80,1.5,Holy Bull,1991
Awesome Buck,2010/03/18,gelding,Diadella,1997,98,12.8,Diesis (GB),1980
Awesome Dude,2010/04/18,gelding,Starrer,1998,98,21.2,Dynaformer,1985
Awesome Mama,2010/02/02,filly,Mama Nadine,2003,75,3.4,A.P. Indy,1989
Awesome Markiza,2010/03/01,filly,Valid Leader,1995,90,3.4,Valid Appeal,1972
Be a Hero,2010/02/23,gelding,Bettarun Fast,2003,88,5.8,Kelly Kip,1994
Belvedera,2010/03/25,filly,Forever Land,1989,84,5.2,Badger Land,1983
Berlin Beauty,2010/02/12,filly,Final Fling,2005,88,6.4,Bertrando,1989
Biscay Boy,2010/01/19,gelding,Grecian Lover,2002,85,2.7,Friendly Lover,1988
Chicago Kid,2010/03/10,gelding,Cozy Queen,2003,55,0.7,Cozzene,1980
