Name,Year,Sex,SPR,CPI,Dam Name,Dam Year,Dam SPR,Dam CPI,Dam Sire Name,Dam Sire Year
Always Shopping,2016/04/09,filly,96,6.8,Stopshoppingmaria,2009,97,9.5,More Than Ready,1997
Awesome Adversary,2016/02/05,gelding,56,0.7,Adorable You,2004,51,0.6,Grand Slam,1995
Awesome Agenda,2016/03/14,gelding,39,0.4,Chat Me Up,2009,52,0.6,Purim,2002
Awesome Agent,2016/03/25,colt,,,,,,,,
Awesome Aphra,2016/02/22,filly,35,0.3,Aibhilin,2011,95,3.9,Sky Mesa,2000
Awesome Aurora,2016/03/27,filly,,,,,,,,
Awesome D J,2016/05/25,gelding,69,1.2,High Definition,2007,14,0.1,Richter Scale,1994
Awesome Game,2016/04/22,gelding,13,0.1,Courtizanna,2012,,,Tiznow,1997
Awesome Holiday,2016/02/25,filly,,,,,,,,
Awesome Maiden,2016/04/04,filly,15,0.1,Lady Mayfair,2012,21,0.1,Medaglia d'Oro,1999
Awesome Marq,2016/04/18,filly,13,0.1,Marquet Madness,2007,85,2.7,Pico Central (BRZ),1999
Awesome Mystery,2016/02/04,gelding,3,0.0,Missteria,2008,52,0.6,Dance With Ravens,2002
Awesome Rally,2016/05/06,gelding,54,1.1,Xs Belle,2009,,,Dynaformer,1985
Awesome Score,2016/02/12,gelding,60,2.1,The Best Option,2008,80,1.7,Pleasant Tap,1987
Awesome Starlet,2016/03/27,filly,35,0.3,Capital Plan,2008,98,8.6,Rock Hard Ten,2001
Awesome Tiara,2016/03/09,filly,,,,,,,,
Awesome Tracker,2016/03/17,gelding,43,0.5,Way Smarter,2009,89,2.6,Smart Strike,1992
Awesome Tune,2016/03/22,filly,1,0.0,Singing Doe,2004,72,1.4,Running Stag,1994
Awesome Wild Girl (IRE),2016/02/25,filly,56,0.7,Danish Wildcat,2004,14,0.1,Danehill,1986
Awesome Wok N Roll,2016/04/06,gelding,62,1.3,El Prado Essence,1997,99,13.9,El Prado (IRE),1989
Behind the Couch,2016/03/10,filly,82,1.6,Tapitbythesea,2011,9,0.0,Tapit,2001
Belissimo,2016/02/10,filly,,,,,,,,
Blue Danube,2016/04/18,gelding,41,0.5,Majestic River,2010,97,8.7,A.P. Indy,1989
Boyson,2016/04/07,gelding,51,0.6,Musical Mystery,2012,12,0.1,Concerto,1994
California Moon,2016/04/13,filly,,,,,,,,
Call Me Derby,2016/04/15,gelding,59,0.9,Key Appeal,2007,68,3.1,Successful Appeal,1996
Cash Again,2016/02/29,gelding,59,1.0,Collect the Cash,1997,92,11.4,Dynaformer,1985
Classic Beauty,2016/04/21,filly,50,0.5,Clearbrook,2010,94,3.9,Smart Strike,1992
Cornstarch,2016/05/05,colt,76,1.2,Find the Humor,2008,83,1.9,Sharp Humor,2003
Dempsey,2016/03/07,colt,,,,,,,,
Deyonce,2016/03/26,filly,,,,,,,,
Gladesman,2016/05/15,colt,12,0.1,Sydney's Kiss,1999,86,1.8,Boston Harbor,1994
Groundhog Day,2016/04/04,gelding,,,,,,,,
Hurricane Andrew,2016/04/15,gelding,35,0.5,Can't Bluff Me,1997,60,1.2,Pine Bluff,1989
Ilha Do Mel,2016/03/10,filly,45,0.6,Sonhadora,2011,,,Distorted Humor,1993
Impressive Again,2016/04/24,gelding,0,0.2,Ceebett's Dancer,1996,54,0.4,Moscow Ballet,1982
Lahela,2016/03/10,filly,0,1.6,My Emmy Girl,2011,,,Street Sense,2004
Liberty Again T N,2016/01/24,filly,,,,,,,,
Light Festival,2016/03/31,filly,,,,,,,,
Madame Jeanette,2016/02/19,filly,29,0.3,Katie's Heat,2011,,,Unusual Heat,1990
Marvelous Martina,2016/04/26,filly,77,1.4,Marvelous Margaret,2009,73,1.6,Put It Back,1998
Meet Me in L A,2016/04/27,gelding,,,,,,,,
Moldy Money,2016/05/10,filly,13,0.1,Ryan's Inheritance,2004,57,0.7,Valid Expectations,1993
Mudcrutch,2016/02/18,colt,,,,,,,,
Musical Mood,2016/02/22,filly,36,0.4,Ez Indy,2007,,,A.P. Indy,1989
My Lady Anna,2016/05/01,filly,61,1.2,See Me Dance,2007,,,Unbridled's Song,1993
Notorious Gal,2016/04/25,filly,31,0.3,Mercurial Menace,2009,42,0.5,Unbridled's Song,1993
Peace Love Bread,2016/04/10,filly,59,0.7,Western Vision,2003,,,Gone West,1984
R Awesum Betty,2016/02/17,filly,57,0.6,R Betty Graybull,2006,96,6.8,Holy Bull,1991
Real Rocket,2016/03/20,gelding,8,0.1,Harve de Grace,2000,81,1.6,Boston Harbor,1994
Relishment,2016/04/13,gelding,56,0.7,Sweet Relish,2006,82,3.7,Smoke Glacken,1994
Self Defense,2016/03/22,gelding,2,0.0,Pussyfoot,2012,62,0.8,Tiznow,1997
Sir Winston,2016/04/08,colt,,,,,,,,
Skrilla,2016/04/10,colt,,,,,,,,
Souper Thriller,2016/04/22,gelding,,,,,,,,
Stunning Again (KOR),2016/03/27,colt,,,,,,,,
Super Awesome (CHI),2016/03/05,gelding,1,0.0,Super Amazing,2010,48,0.5,Put It Back,1998
Superlativo,2016/04/07,colt,,,,,,,,
Valencia Vale,2016/04/13,filly,8,0.1,Andraste,2006,12,0.2,Pulpit,1994
Wicked Awesome,2016/03/02,filly,80,3.0,Mira Alta,2010,,,Curlin,2004
Yabba Dabba Dude,2016/04/04,gelding,52,0.6,Sweet Charity,1999,76,1.9,A.P. Indy,1989
Zeruch,2016/04/01,gelding,,,,,,,,
Unnamed,2017/02/15,gelding,,,,,,,,
Unnamed,2017/03/02,filly,,,,,,,,
Unnamed,2017/01/31,filly,,,,,,,,
Annoula,2017/03/02,filly,36,0.4,Athena Ballerina,2006,1,0.0,Lion Heart,2001
Approved,2017/04/07,gelding,42,0.5,Beach Walk,2013,77,1.4,Distorted Humor,1993
Awesome Beauty,2017/02/20,filly,,,,,,,,
Awesome Galaxy,2017/02/18,filly,24,0.2,Galaxy Princess,2012,,,Tiznow,1997
Awesome Kaz,2017/05/01,colt,,,,,,,,
Awesome Magnolia,2017/02/22,filly,,,,,,,,
Awesome Princess,2017/03/05,filly,,,,,,,,
Awesome Tiger,2017/02/05,gelding,,,,,,,,
Bam Bam Again,2017/01/30,gelding,32,0.4,Pebble Beach Baby,2010,82,2.1,Rock Hard Ten,2001
Borano (KSA),2017/02/28,colt,,,,,,,,
Broadway Joe,2017/03/18,gelding,20,0.2,Storm Now,2011,63,1.0,Tiznow,1997
Christmas Pickles,2017/03/20,filly,14,0.1,Rivertown Belle,2010,79,5.1,Bellamy Road,2002
Citizen Dream,2017/01/25,colt,,,,,,,,
Clifton Park,2017/04/12,colt,27,0.3,Sister in Arms,2011,78,1.5,Colonel John,2005
Collinsavenue,2017/03/20,filly,14,0.1,Great Mills High,2010,63,2.3,Student Council,2002
Coral Berry,2017/01/15,filly,,,,,,,,
Devine Teresa,2017/03/03,filly,,,,,,,,
Favorite Sin,2017/02/04,filly,74,1.5,On Fire Baby,2009,99,20.0,Smoke Glacken,1994
How Awesome Am I,2017/04/20,filly,,,,,,,,
Idolo Mundial,2017/03/14,colt,52,0.3,Topic,2010,78,2.8,Discreet Cat,2003
In Awe Again,2017/05/21,gelding,18,0.1,Xs Belle,2009,,,Dynaformer,1985
It's Awesome Jett,2017/02/27,gelding,,,,,,,,
Izellah,2017/01/28,filly,,,,,,,,
Just Awesome M,2017/05/01,gelding,32,0.3,Final Fling,2005,88,6.4,Bertrando,1989
Kite Beach,2017/02/05,filly,,,,,,,,
Livin' At the Bu,2017/04/02,filly,57,0.8,Malibu Bucklebunny,2013,3,0.0,Malibu Moon,1997
Mimi's Awesome,2017/02/10,filly,1,0.0,Tia Tamina,2013,,,Uncle Mo,2008
Mrs. Awesome,2017/04/11,filly,31,0.2,Playful Run,1999,,,Run Softly,1991
Negotiator,2017/03/17,gelding,59,0.7,Practicaly Perfect,2008,,,Pleasantly Perfect,1998
No Questions Asked,2017/02/15,filly,,,,,,,,
Now and Again,2017/06/25,gelding,66,1.0,Ever and Anon,2003,87,2.6,Carson City,1987
Omni Diva,2017/02/28,filly,75,1.5,Ultimate Prize,2012,14,0.1,Smart Strike,1992
On to Cincinnati,2017/02/28,filly,4,0.0,Conquest War Miss,2012,32,0.3,War Front,2002
Prince of Caps,2017/02/18,gelding,62,0.8,Seeking the Silver,2000,82,1.9,Grindstone,1993
Private Talk,2017/04/11,filly,,,,,,,,
Prospect Project,2017/04/01,gelding,31,0.7,Private Estate,2012,82,1.6,Speightstown,1998
Rivercane,2017/03/13,filly,35,0.3,Handwoven,2009,88,2.3,Indian Charlie,1995
Saint Philomena,2017/04/18,filly,,,,,,,,
Seattle Again,2017/05/05,filly,0,0.5,Exotic Design,2006,19,0.1,A.P. Indy,1989
Small Talk,2017/02/26,gelding,76,1.8,Ain't No Tellin',2008,32,0.3,Dynaformer,1985
Soar Like an Eagle,2017/03/18,gelding,11,0.1,My Merry Way,2011,74,1.9,Tiznow,1997
Starship Goddess,2017/04/15,filly,51,0.7,Fifth Dimension,2010,30,0.2,Distorted Humor,1993
Such Great Heights,2017/04/18,filly,51,0.8,Starship Universe,2009,78,1.9,Mineshaft,1999
Thabooh (KSA),2017/03/28,colt,2,0.2,Okra Wind Free,2010,35,0.4,Slew City Slew,1984
Tizso Awesome,2017/05/05,filly,73,1.2,Tizakitty,2001,97,6.0,Distinctive Cat,1993
Tumbadora,2017/04/13,filly,42,0.5,Conga Bella,2007,89,2.8,Congaree,1998
U S S Lois,2017/02/02,filly,36,0.4,Tiz a Mistress,2002,,,Cee's Tizzy,1987
Well Done West,2017/03/29,colt,91,2.6,Malibu Breeze,2012,67,0.9,Distorted Humor,1993
Yeonggwangui Punch,2017/04/21,colt,,,,,,,,
Unnamed,2018/04/02,colt,,,,,,,,
Unnamed,2018/04/26,colt,,,,,,,,
Again and Again,2018/05/03,filly,,,,,,,,
Al Maroom,2018/05/15,filly,,,,,,,,
Alki Beach,2018/04/20,gelding,4,0.0,Beach Day,2010,11,0.1,A.P. Indy,1989
/April Rose=Chi,2018/07/25,filly,1,0.0,April Foolishness,2002,74,1.7,Secret Hello,1987
Aramco (KSA),2018/02/03,colt,16,0.1,Jamie's Catch,2011,14,0.1,Hal's Image,2002
Aspen Again,2018/04/30,filly,16,0.1,Saintcerely,2002,,,Saint Ballado,1989
Aviatrice,2018/03/22,filly,,,,,,,,
Awesome Break,2018/04/10,gelding,24,0.2,Drought Breaker,2001,83,2.9,Steinlen (GB),1983
Awesome Dynamo,2018/03/31,gelding,39,1.1,Dynamizzen,2012,51,0.6,Mizzen Mast,1998
Awesome Gigi,2018/01/24,filly,46,0.4,Givonna B,2010,34,0.3,Proud and True,1994
Awesome Remix,2018/01/26,gelding,,,,,,,,
Awesome Springs,2018/05/02,colt,,,,,,,,
Awesome Steel,2018/05/04,gelding,33,0.3,Magnolia Steel,2012,76,1.3,Include,1997
Awesome Team,2018/04/09,filly,,,,,,,,
Awesome Wine,2018/03/17,filly,,,,,,,,
Awesome Yet Again,2018/05/18,gelding,36,0.3,In the Slips,2007,93,3.9,More Than Ready,1997
Awesomeloveofdeoro,2018/04/01,filly,,,,,,,,
Brio Is Awesome,2018/02/21,filly,36,0.4,Tiz a Mistress,2002,,,Cee's Tizzy,1987
Complete Lady,2018/03/02,filly,,,,,,,,
Fabuloso,2018/03/09,colt,,,,,,,,
Gypsy V Bar,2018/04/28,filly,31,0.3,Margo's Delight,2006,55,0.7,Texas Glitter,1996
Hipster,2018/03/28,gelding,80,1.5,My Fast Friend,2006,32,0.3,Friends Lake,2001
Hype Man,2018/02/02,gelding,36,0.4,Golden Finish,2011,73,1.1,Chestertown Slew,2002
Iola's Black,2018/05/12,colt,2,0.0,Sippi Fever,2006,48,0.6,Stormin Fever,1994
Killoean Rose,2018/04/07,filly,11,0.1,Killoe,2001,64,0.9,Kris S.,1977
King of Awesome,2018/03/15,gelding,32,0.3,Queen July,2009,3,0.0,Corporate Report,1988
Koko's Mom,2018/02/25,filly,43,0.5,Simon Sez Run Fast,2007,18,0.2,Kissin Kris,1990
Maglev Joy (KOR),2018/01/01,filly,,,,,,,,
Naughty Mabel,2018/03/02,filly,35,0.3,Revelette,2009,1,0.0,Mizzen Mast,1998
Once Again,2018/04/07,gelding,,,,,,,,
Plenty Awesome,2018/02/06,filly,6,0.1,Plenty O'Toole,2010,83,2.1,Tiznow,1997
Prince Perfecta,2018/03/10,gelding,56,0.7,Princess Perfect,2008,73,1.7,Crafty Friend,1993
Qu'appelle Belle,2018/05/11,filly,,,,,,,,
Return to Harbor,2018/04/12,filly,35,0.4,Havre de Place,2010,33,0.3,Out of Place,1987
Right to Strike,2018/01/25,gelding,29,0.2,Strike Right Now,2013,56,4.0,Tiznow,1997
Rightandjust,2018/04/16,colt,85,1.9,Pussyfoot,2012,62,0.8,Tiznow,1997
Seif Almolaqa (KSA),2018/05/03,colt,1,0.0,Sanctifica,2011,88,4.0,Distorted Humor,1993
She's Apples,2018/03/15,filly,55,0.7,Apple Down Under,2013,56,0.9,Lonhro (AUS),1998
Snowbird Sally,2018/03/22,filly,15,0.1,Snow Angel,2002,18,0.1,Alphabet Soup,1991
Spritz,2018/04/27,filly,57,1.2,Holy Blitz,1997,96,5.6,Holy Bull,1991
Sting Like a Bee,2018/05/06,gelding,23,0.2,La Belle Province,2009,49,0.6,Marco Bay,1990
Street Culture,2018/03/16,gelding,65,0.9,Summer Street,2009,37,0.4,Street Cry (IRE),1998
Super Chief,2018/05/11,colt,94,4.2,Addagirladdy,2008,30,0.3,Doneraile Court,1996
Super Scorpio,2018/04/06,gelding,57,0.9,Scorpiobdancing,2009,39,0.4,Pleasant Tap,1987
Tijuana Flair,2018/02/06,filly,30,0.4,Bears Measure,2012,,,Tiznow,1997
U Cant Handle This,2018/02/04,filly,67,0.9,Coastal View,2014,,,Tiznow,1997
Wick,2018/02/23,gelding,49,0.5,Unbridled Wee,2010,57,1.4,Holy Bull,1991
Unnamed,2019/05/29,colt,,,,,,,,
Unnamed,2019/04/07,colt,,,,,,,,
Angelo's Superstar,2019/06/22,colt,,,,,,,,
Awesome Bid,2019/05/03,gelding,51,0.6,Holy Blitz,1997,96,5.6,Holy Bull,1991
Awesome Clarity,2019/02/10,colt,,,,,,,,
Awesome Daze,2019/04/09,filly,,,,,,,,
Awesome Incentive,2019/03/26,filly,40,0.4,Incentive,2008,75,1.3,Mr. Greeley,1992
Awesome Oak,2019/05/03,filly,0,0.1,Ms Silver Oak,2008,73,1.6,Leroidesanimaux (BRZ),2000
Awesome Samantha,2019/04/12,filly,22,0.1,Gaylo,2014,21,0.1,Gayego,2005
Awesome Strike,2019/02/01,gelding,68,1.0,Strike Right Now,2013,56,4.0,Tiznow,1997
Awesome Valor,2019/02/27,filly,24,0.2,Sister to the Nth,2005,5,0.0,Ecton Park,1996
Awsome Donna,2019/03/15,filly,13,0.1,Queen July,2009,3,0.0,Corporate Report,1988
Bebe Carnation,2019/02/28,colt,0,0.3,Win Winney,2014,60,1.2,Exchange Rate,1997
Clown Oil,2019/03/18,gelding,25,0.2,Aptiseno,2005,67,1.1,Aptitude,1997
Define Awesome,2019/05/10,colt,,,,,,,,
Gypsy Lynn,2019/05/06,filly,,,,,,,,
Jamiche,2019/02/26,filly,,,,,,,,
Ne Hochu,2019/04/06,colt,,,,,,,,
Printrack,2019/02/17,gelding,82,1.6,Lac Du Printemps,1998,52,0.3,Meadowlake,1983
Super Sting,2019/04/12,filly,18,0.1,Perfect Sting,1996,99,47.3,Red Ransom,1987
Vero Campione,2019/05/04,gelding,27,0.2,The Rumor's True,2007,77,4.2,Kafwain,2000
